"correct","participant_id","rt","response","stimulus","trial_type","trial_index","plugin_version","time_elapsed"
"h","","457","a","data/H/256-5.wav","audio-keyboard-response","3","2.1.0","3909"
"h","","195","a","data/H/292-2.wav","audio-keyboard-response","4","2.1.0","4109"
"h","","177","a","data/H/325-5.wav","audio-keyboard-response","5","2.1.0","4291"
"a","","137","a","data/A/output19-1.wav","audio-keyboard-response","6","2.1.0","4433"
"a","","134","a","data/A/output70-1.wav","audio-keyboard-response","7","2.1.0","4573"
"h","","96","a","data/H/175.5-5.wav","audio-keyboard-response","8","2.1.0","4675"
"a","","174","a","data/A/output26-4.wav","audio-keyboard-response","9","2.1.0","4854"
"h","","133","a","data/H/402-8.wav","audio-keyboard-response","10","2.1.0","4997"
"h","","175","a","data/H/5.7-2.wav","audio-keyboard-response","11","2.1.0","5177"
"h","","156","a","data/H/122.6-4.wav","audio-keyboard-response","12","2.1.0","5339"
"a","","176","a","data/A/output67-3.wav","audio-keyboard-response","13","2.1.0","5520"
"h","","135","a","data/H/368-7.wav","audio-keyboard-response","14","2.1.0","5661"
"h","","175","a","data/H/294-4.wav","audio-keyboard-response","15","2.1.0","5842"
"a","","136","a","data/A/output61-3.wav","audio-keyboard-response","16","2.1.0","5983"
"a","","136","a","data/A/output10-6.wav","audio-keyboard-response","17","2.1.0","6125"
"a","","113","a","data/A/output80-2.wav","audio-keyboard-response","18","2.1.0","6245"
"a","","136","a","data/A/output58-3.wav","audio-keyboard-response","19","2.1.0","6387"
"h","","115","a","data/H/426-6.wav","audio-keyboard-response","20","2.1.0","6507"
"h","","136","a","data/H/148.6-6.wav","audio-keyboard-response","21","2.1.0","6648"
"h","","135","a","data/H/283-7.wav","audio-keyboard-response","22","2.1.0","6789"
"h","","135","a","data/H/375-1.wav","audio-keyboard-response","23","2.1.0","6931"
"a","","114","a","data/A/output21-1.wav","audio-keyboard-response","24","2.1.0","7051"
"a","","136","a","data/A/output81-3.wav","audio-keyboard-response","25","2.1.0","7192"
"h","","134","a","data/H/244.15-6.wav","audio-keyboard-response","26","2.1.0","7333"
"h","","115","a","data/H/290-2.wav","audio-keyboard-response","27","2.1.0","7453"
"a","","117","a","data/A/output64-3.wav","audio-keyboard-response","28","2.1.0","7575"
"a","","135","a","data/A/output3-3.wav","audio-keyboard-response","29","2.1.0","7715"
"h","","136","a","data/H/65.7-5.wav","audio-keyboard-response","30","2.1.0","7857"
"h","","93","a","data/H/227.11-5.wav","audio-keyboard-response","31","2.1.0","7954"
"a","","381","a","data/A/output28-2.wav","audio-keyboard-response","32","2.1.0","8340"
"a","","174","a","data/A/output16-1.wav","audio-keyboard-response","33","2.1.0","8521"
"a","","133","a","data/A/output75-1.wav","audio-keyboard-response","34","2.1.0","8663"
"a","","135","a","data/A/output48-2.wav","audio-keyboard-response","35","2.1.0","8803"
"a","","136","a","data/A/output39-6.wav","audio-keyboard-response","36","2.1.0","8945"
"h","","258","a","data/H/428-3.wav","audio-keyboard-response","37","2.1.0","9207"
"h","","174","a","data/H/90.5-6.wav","audio-keyboard-response","38","2.1.0","9387"
"a","","414","a","data/A/output77-3.wav","audio-keyboard-response","39","2.1.0","9811"
"a","","197","a","data/A/output14-6.wav","audio-keyboard-response","40","2.1.0","10013"
"a","","357","a","data/A/output31-5.wav","audio-keyboard-response","41","2.1.0","10375"
"a","","316","a","data/A/output79-3.wav","audio-keyboard-response","42","2.1.0","10697"
"h","","497","a","data/H/276-8.wav","audio-keyboard-response","43","2.1.0","11201"
