"correct","rt","response","stimulus","trial_type","trial_index","plugin_version","time_elapsed"
"a","558","a","data/A/output14-6.wav","audio-keyboard-response","3","2.1.0","5943"
"h","640","a","data/H/148.6-6.wav","audio-keyboard-response","4","2.1.0","6588"
"h","438","a","data/H/122.6-4.wav","audio-keyboard-response","5","2.1.0","7031"
"a","881","a","data/A/output10-6.wav","audio-keyboard-response","6","2.1.0","7917"
