"correct","participant_id","rt","response","stimulus","trial_type","trial_index","plugin_version","time_elapsed"
"h","","700","h","data/H/402-8.wav","audio-keyboard-response","3","2.1.0","5583"
"a","","156","h","data/A/output75-1.wav","audio-keyboard-response","4","2.1.0","5745"
"a","","396","h","data/A/output28-2.wav","audio-keyboard-response","5","2.1.0","6147"
"a","","156","h","data/A/output10-6.wav","audio-keyboard-response","6","2.1.0","6309"
"h","","115","h","data/H/426-6.wav","audio-keyboard-response","7","2.1.0","6429"
"h","","137","h","data/H/227.11-5.wav","audio-keyboard-response","8","2.1.0","6571"
"a","","136","h","data/A/output21-1.wav","audio-keyboard-response","9","2.1.0","6711"
"h","","137","h","data/H/5.7-2.wav","audio-keyboard-response","10","2.1.0","6853"
"h","","135","h","data/H/276-8.wav","audio-keyboard-response","11","2.1.0","6993"
"h","","117","h","data/H/65.7-5.wav","audio-keyboard-response","12","2.1.0","7115"
"h","","155","h","data/H/148.6-6.wav","audio-keyboard-response","13","2.1.0","7275"
"a","","116","h","data/A/output31-5.wav","audio-keyboard-response","14","2.1.0","7397"
"a","","134","h","data/A/output26-4.wav","audio-keyboard-response","15","2.1.0","7537"
"a","","136","h","data/A/output80-2.wav","audio-keyboard-response","16","2.1.0","7679"
"h","","133","h","data/H/256-5.wav","audio-keyboard-response","17","2.1.0","7818"
"h","","137","h","data/H/244.15-6.wav","audio-keyboard-response","18","2.1.0","7961"
"a","","135","h","data/A/output14-6.wav","audio-keyboard-response","19","2.1.0","8101"
"a","","137","h","data/A/output39-6.wav","audio-keyboard-response","20","2.1.0","8243"
"h","","134","h","data/H/283-7.wav","audio-keyboard-response","21","2.1.0","8383"
"h","","116","h","data/H/294-4.wav","audio-keyboard-response","22","2.1.0","8505"
"a","","134","h","data/A/output67-3.wav","audio-keyboard-response","23","2.1.0","8645"
"h","","136","h","data/H/292-2.wav","audio-keyboard-response","24","2.1.0","8787"
"h","","113","h","data/H/122.6-4.wav","audio-keyboard-response","25","2.1.0","8907"
"a","","135","h","data/A/output61-3.wav","audio-keyboard-response","26","2.1.0","9047"
"a","","136","h","data/A/output48-2.wav","audio-keyboard-response","27","2.1.0","9189"
"a","","114","h","data/A/output19-1.wav","audio-keyboard-response","28","2.1.0","9309"
"h","","137","h","data/H/175.5-5.wav","audio-keyboard-response","29","2.1.0","9451"
"a","","137","h","data/A/output64-3.wav","audio-keyboard-response","30","2.1.0","9593"
"a","","135","h","data/A/output79-3.wav","audio-keyboard-response","31","2.1.0","9733"
"a","","135","h","data/A/output58-3.wav","audio-keyboard-response","32","2.1.0","9873"
"a","","137","h","data/A/output16-1.wav","audio-keyboard-response","33","2.1.0","10015"
"a","","117","h","data/A/output70-1.wav","audio-keyboard-response","34","2.1.0","10137"
"a","","135","h","data/A/output3-3.wav","audio-keyboard-response","35","2.1.0","10277"
"h","","158","h","data/H/428-3.wav","audio-keyboard-response","36","2.1.0","10439"
"h","","135","h","data/H/368-7.wav","audio-keyboard-response","37","2.1.0","10579"
"h","","136","h","data/H/325-5.wav","audio-keyboard-response","38","2.1.0","10721"
"a","","134","h","data/A/output81-3.wav","audio-keyboard-response","39","2.1.0","10861"
"h","","196","h","data/H/290-2.wav","audio-keyboard-response","40","2.1.0","11063"
"a","","418","h","data/A/output77-3.wav","audio-keyboard-response","41","2.1.0","11485"
"h","","318","h","data/H/90.5-6.wav","audio-keyboard-response","42","2.1.0","11809"
"h","","657","h","data/H/375-1.wav","audio-keyboard-response","43","2.1.0","12473"
