"correct","participant_id","rt","response","stimulus","trial_type","trial_index","plugin_version","time_elapsed"
"h","","839","a","data/H/368-7.wav","audio-keyboard-response","2","2.1.0","5522"
"h","","372","a","data/H/175.5-5.wav","audio-keyboard-response","3","2.1.0","5904"
"a","","231","a","data/A/output70-1.wav","audio-keyboard-response","4","2.1.0","6145"
"a","","194","a","data/A/output31-5.wav","audio-keyboard-response","5","2.1.0","6348"
"a","","166","a","data/A/output77-3.wav","audio-keyboard-response","6","2.1.0","6528"
"h","","156","a","data/H/122.6-4.wav","audio-keyboard-response","7","2.1.0","6690"
"a","","155","a","data/A/output61-3.wav","audio-keyboard-response","8","2.1.0","6852"
"a","","150","a","data/A/output3-3.wav","audio-keyboard-response","9","2.1.0","7012"
"h","","171","a","data/H/276-8.wav","audio-keyboard-response","10","2.1.0","7194"
"h","","133","a","data/H/227.11-5.wav","audio-keyboard-response","11","2.1.0","7333"
"a","","175","a","data/A/output64-3.wav","audio-keyboard-response","12","2.1.0","7515"
"h","","129","a","data/H/426-6.wav","audio-keyboard-response","13","2.1.0","7656"
"h","","152","a","data/H/290-2.wav","audio-keyboard-response","14","2.1.0","7818"
"a","","151","a","data/A/output75-1.wav","audio-keyboard-response","15","2.1.0","7980"
"a","","152","a","data/A/output48-2.wav","audio-keyboard-response","16","2.1.0","8139"
"h","","156","a","data/H/325-5.wav","audio-keyboard-response","17","2.1.0","8302"
"h","","149","a","data/H/292-2.wav","audio-keyboard-response","18","2.1.0","8462"
"a","","152","a","data/A/output21-1.wav","audio-keyboard-response","19","2.1.0","8624"
"a","","152","a","data/A/output16-1.wav","audio-keyboard-response","20","2.1.0","8786"
"h","","149","a","data/H/90.5-6.wav","audio-keyboard-response","21","2.1.0","8946"
"h","","191","a","data/H/283-7.wav","audio-keyboard-response","22","2.1.0","9147"
"a","","167","a","data/A/output81-3.wav","audio-keyboard-response","23","2.1.0","9328"
"a","","214","a","data/A/output10-6.wav","audio-keyboard-response","24","2.1.0","9550"
"h","","210","a","data/H/148.6-6.wav","audio-keyboard-response","25","2.1.0","9771"
"h","","191","a","data/H/65.7-5.wav","audio-keyboard-response","26","2.1.0","9973"
"a","","233","a","data/A/output80-2.wav","audio-keyboard-response","27","2.1.0","10216"
"h","","232","a","data/H/256-5.wav","audio-keyboard-response","28","2.1.0","10458"
"a","","291","a","data/A/output28-2.wav","audio-keyboard-response","29","2.1.0","10760"
"h","","312","a","data/H/375-1.wav","audio-keyboard-response","30","2.1.0","11082"
"h","","351","a","data/H/428-3.wav","audio-keyboard-response","31","2.1.0","11444"
"h","","315","a","data/H/244.15-6.wav","audio-keyboard-response","32","2.1.0","11766"
"a","","274","a","data/A/output14-6.wav","audio-keyboard-response","33","2.1.0","12047"
"h","","212","a","data/H/402-8.wav","audio-keyboard-response","34","2.1.0","12270"
"a","","214","a","data/A/output39-6.wav","audio-keyboard-response","35","2.1.0","12492"
"a","","214","a","data/A/output79-3.wav","audio-keyboard-response","36","2.1.0","12714"
"h","","373","a","data/H/294-4.wav","audio-keyboard-response","37","2.1.0","13096"
"a","","255","a","data/A/output58-3.wav","audio-keyboard-response","38","2.1.0","13357"
"h","","356","a","data/H/5.7-2.wav","audio-keyboard-response","39","2.1.0","13720"
"a","","234","a","data/A/output26-4.wav","audio-keyboard-response","40","2.1.0","13962"
"a","","313","a","data/A/output19-1.wav","audio-keyboard-response","41","2.1.0","14284"
"a","","393","a","data/A/output67-3.wav","audio-keyboard-response","42","2.1.0","14687"
