"correct","participant_id","rt","response","stimulus","trial_type","trial_index","plugin_version","time_elapsed"
"a","","2547","a","data/A/output14-6.wav","audio-keyboard-response","3","2.1.0","8275"
"h","","494","a","data/H/175.5-5.wav","audio-keyboard-response","4","2.1.0","8779"
"h","","375","a","data/H/122.6-4.wav","audio-keyboard-response","5","2.1.0","9163"
"a","","334","a","data/A/output10-6.wav","audio-keyboard-response","6","2.1.0","9506"
"h","","333","a","data/H/148.6-6.wav","audio-keyboard-response","7","2.1.0","9850"
"a","","290","a","data/A/output21-1.wav","audio-keyboard-response","8","2.1.0","10149"
