"correct","participant_id","rt","response","stimulus","trial_type","trial_index","plugin_version","time_elapsed"
"h","","329","h","data/H/148.6-6.wav","audio-keyboard-response","2","2.1.0","1674"
"h","","277","h","data/H/65.7-5.wav","audio-keyboard-response","3","2.1.0","1956"
"h","","145","h","data/H/426-6.wav","audio-keyboard-response","4","2.1.0","2106"
"a","","148","h","data/A/output75-1.wav","audio-keyboard-response","5","2.1.0","2258"
"a","","132","h","data/A/output48-2.wav","audio-keyboard-response","6","2.1.0","2396"
"h","","126","h","data/H/244.15-6.wav","audio-keyboard-response","7","2.1.0","2528"
"a","","130","h","data/A/output31-5.wav","audio-keyboard-response","8","2.1.0","2662"
"a","","127","h","data/A/output19-1.wav","audio-keyboard-response","9","2.1.0","2794"
"h","","627","h","data/H/290-2.wav","audio-keyboard-response","10","2.1.0","3426"
"a","","151","h","data/A/output10-6.wav","audio-keyboard-response","11","2.1.0","3584"
"h","","122","h","data/H/122.6-4.wav","audio-keyboard-response","12","2.1.0","3712"
"a","","134","h","data/A/output81-3.wav","audio-keyboard-response","13","2.1.0","3850"
"a","","122","h","data/A/output77-3.wav","audio-keyboard-response","14","2.1.0","3977"
"h","","117","h","data/H/276-8.wav","audio-keyboard-response","15","2.1.0","4112"
"h","","139","h","data/H/402-8.wav","audio-keyboard-response","16","2.1.0","4256"
"h","","137","h","data/H/428-3.wav","audio-keyboard-response","17","2.1.0","4398"
"h","","136","h","data/H/90.5-6.wav","audio-keyboard-response","18","2.1.0","4538"
"a","","132","h","data/A/output61-3.wav","audio-keyboard-response","19","2.1.0","4677"
"a","","142","h","data/A/output16-1.wav","audio-keyboard-response","20","2.1.0","4824"
"h","","137","h","data/H/375-1.wav","audio-keyboard-response","21","2.1.0","4966"
"a","","143","h","data/A/output39-6.wav","audio-keyboard-response","22","2.1.0","5114"
"h","","145","h","data/H/368-7.wav","audio-keyboard-response","23","2.1.0","5264"
"h","","147","h","data/H/292-2.wav","audio-keyboard-response","24","2.1.0","5416"
"a","","150","h","data/A/output3-3.wav","audio-keyboard-response","25","2.1.0","5570"
"a","","140","h","data/A/output14-6.wav","audio-keyboard-response","26","2.1.0","5715"
"a","","143","h","data/A/output80-2.wav","audio-keyboard-response","27","2.1.0","5864"
"a","","144","h","data/A/output79-3.wav","audio-keyboard-response","28","2.1.0","6013"
"h","","143","h","data/H/294-4.wav","audio-keyboard-response","29","2.1.0","6162"
"h","","149","h","data/H/283-7.wav","audio-keyboard-response","30","2.1.0","6316"
"h","","134","h","data/H/325-5.wav","audio-keyboard-response","31","2.1.0","6456"
"h","","152","h","data/H/175.5-5.wav","audio-keyboard-response","32","2.1.0","6614"
"h","","154","h","data/H/256-5.wav","audio-keyboard-response","33","2.1.0","6774"
"h","","197","h","data/H/227.11-5.wav","audio-keyboard-response","34","2.1.0","6976"
"a","","215","h","data/A/output64-3.wav","audio-keyboard-response","35","2.1.0","7195"
"a","","177","h","data/A/output70-1.wav","audio-keyboard-response","36","2.1.0","7378"
"a","","118","h","data/A/output58-3.wav","audio-keyboard-response","37","2.1.0","7502"
"h","","148","h","data/H/5.7-2.wav","audio-keyboard-response","38","2.1.0","7656"
"a","","149","h","data/A/output67-3.wav","audio-keyboard-response","39","2.1.0","7810"
"a","","142","h","data/A/output26-4.wav","audio-keyboard-response","40","2.1.0","7958"
"a","","152","h","data/A/output21-1.wav","audio-keyboard-response","41","2.1.0","8115"
"a","","170","h","data/A/output28-2.wav","audio-keyboard-response","42","2.1.0","8292"
